zone: 0; num nodes: 0 0
zone: 1; num nodes: 0 0
zone: 2; num nodes: 1 0
zone: 3; num nodes: 0 0
zone: 0; num nodes: 0 0
zone: 1; num nodes: 1 0
zone: 2; num nodes: 1 0
zone: 3; num nodes: 0 0
zone: 0; num nodes: 0 0
zone: 1; num nodes: 1 0
zone: 2; num nodes: 2 0
zone: 3; num nodes: 0 0
transaction time: 4.178s; total transactions: 1; average time: 4.17800
transaction time: 1.264s; total transactions: 2; average time: 2.72100
transaction time: 1.921s; total transactions: 3; average time: 2.45433
transaction time: 2.279s; total transactions: 4; average time: 2.41050
transaction time: 2.023s; total transactions: 5; average time: 2.33300
transaction time: 2.053s; total transactions: 6; average time: 2.28633
transaction time: 1.543s; total transactions: 7; average time: 2.18014
transaction time: 1.409s; total transactions: 8; average time: 2.08375
transaction time: 1.406s; total transactions: 9; average time: 2.00844
transaction time: 2.232s; total transactions: 10; average time: 2.03080
zone: 0; num nodes: 0 0
zone: 1; num nodes: 2 0
zone: 2; num nodes: 2 0
zone: 3; num nodes: 0 0
transaction time: 1.41s; total transactions: 11; average time: 1.97436
transaction time: 9.447s; total transactions: 12; average time: 2.59708
transaction time: 1.608s; total transactions: 13; average time: 2.52100
transaction time: 1.344s; total transactions: 14; average time: 2.43693
zone: 0; num nodes: 0 0
zone: 1; num nodes: 2 0
zone: 2; num nodes: 2 0
zone: 3; num nodes: 1 0
transaction time: 1.745s; total transactions: 15; average time: 2.39080
transaction time: 4s; total transactions: 16; average time: 2.49137
transaction time: 1.227s; total transactions: 17; average time: 2.41700
transaction time: 0.688s; total transactions: 18; average time: 2.32094
transaction time: 4.292s; total transactions: 19; average time: 2.42468
transaction time: 1.823s; total transactions: 20; average time: 2.39460
transaction time: 0.566s; total transactions: 21; average time: 2.30752
transaction time: 0.551s; total transactions: 22; average time: 2.22768
transaction time: 2.214s; total transactions: 23; average time: 2.22709
transaction time: 0.792s; total transactions: 24; average time: 2.16729
transaction time: 1.598s; total transactions: 25; average time: 2.14452
transaction time: 2.564s; total transactions: 26; average time: 2.16065
transaction time: 1.083s; total transactions: 27; average time: 2.12074
transaction time: 1.298s; total transactions: 28; average time: 2.09136
